City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
159,Port Macquarie,AU,-31.4333,152.9167,48.16,65,4,4.88,clear sky
160,Itagi,BR,-14.1628,-40.0061,68.38,98,46,0.94,scattered clouds
161,Pandan,PH,14.0453,124.1694,80.2,82,100,3.83,overcast clouds
162,Port Blair,IN,11.6667,92.75,83.88,76,100,12.15,moderate rain
163,Hammerfest,NO,70.6634,23.6821,39.65,81,0,6.91,clear sky
164,Plouzane,FR,48.3833,-4.6167,55.72,87,90,8.05,overcast clouds
165,Glendive,US,47.1053,-104.7125,77.7,18,1,16.11,clear sky
166,Vinh,VN,18.6667,105.6667,78.55,85,100,4.79,overcast clouds
167,Dikson,RU,73.5069,80.5464,29.41,90,100,11.92,overcast clouds
168,Samba,IN,32.5667,75.1167,86.81,35,6,3.91,clear sky
